产品参考编码,产品/名称,产品/SKU 优先级,计量单位,包装数量,位置,位置/位置名称,可用数量,预留数量,数量,库位类型,长（cm),宽(cm),高(cm),状态,仓库,货架,位置.1,层数
,,,,,,A010100,,,,存货位,135.0,90.0,160.0,可用,A,1.0,1.0,0.0
,,,,,,A010110,,,,存货位,135.0,90.0,160.0,可用,A,1.0,1.0,10.0
,,,,,,A010120,,,,存货位,135.0,90.0,160.0,可用,A,1.0,1.0,20.0
,,,,,,A010130,,,,存货位,135.0,90.0,120.0,可用,A,1.0,1.0,30.0
,,,,,,A010140,,,,存货位,135.0,90.0,120.0,可用,A,1.0,1.0,40.0
,,,,,,A010150,,,,存货位,135.0,90.0,120.0,可用,A,1.0,1.0,50.0
,,,,,,A010200,,,,存货位,135.0,90.0,160.0,可用,A,1.0,2.0,0.0
,,,,,,A010210,,,,存货位,135.0,90.0,160.0,可用,A,1.0,2.0,10.0
,,,,,,A010220,,,,存货位,135.0,90.0,160.0,可用,A,1.0,2.0,20.0
,,,,,,A010230,,,,存货位,135.0,90.0,120.0,可用,A,1.0,2.0,30.0
,,,,,,A010240,,,,存货位,135.0,90.0,120.0,可用,A,1.0,2.0,40.0
,,,,,,A010250,,,,存货位,135.0,90.0,120.0,可用,A,1.0,2.0,50.0
,,,,,,A010300,,,,存货位,135.0,90.0,160.0,可用,A,1.0,3.0,0.0
,,,,,,A010310,,,,存货位,135.0,90.0,160.0,可用,A,1.0,3.0,10.0
,,,,,,A010320,,,,存货位,135.0,90.0,160.0,可用,A,1.0,3.0,20.0
,,,,,,A010330,,,,存货位,135.0,90.0,120.0,可用,A,1.0,3.0,30.0
,,,,,,A010340,,,,存货位,135.0,90.0,120.0,可用,A,1.0,3.0,40.0
,,,,,,A010350,,,,存货位,135.0,90.0,120.0,可用,A,1.0,3.0,50.0
,,,,,,A010400,,,,存货位,135.0,90.0,160.0,可用,A,1.0,4.0,0.0
,,,,,,A010410,,,,存货位,135.0,90.0,160.0,可用,A,1.0,4.0,10.0
,,,,,,A010420,,,,存货位,135.0,90.0,160.0,可用,A,1.0,4.0,20.0
,,,,,,A010430,,,,存货位,135.0,90.0,120.0,可用,A,1.0,4.0,30.0
,,,,,,A010440,,,,存货位,135.0,90.0,120.0,可用,A,1.0,4.0,40.0
,,,,,,A010450,,,,存货位,135.0,90.0,120.0,可用,A,1.0,4.0,50.0
,,,,,,A010500,,,,存货位,135.0,90.0,160.0,可用,A,1.0,5.0,0.0
,,,,,,A010510,,,,存货位,135.0,90.0,160.0,可用,A,1.0,5.0,10.0
,,,,,,A010520,,,,存货位,135.0,90.0,160.0,可用,A,1.0,5.0,20.0
,,,,,,A010530,,,,存货位,135.0,90.0,120.0,可用,A,1.0,5.0,30.0
,,,,,,A010540,,,,存货位,135.0,90.0,120.0,可用,A,1.0,5.0,40.0
,,,,,,A010550,,,,存货位,135.0,90.0,120.0,可用,A,1.0,5.0,50.0
,,,,,,A010600,,,,存货位,135.0,90.0,160.0,可用,A,1.0,6.0,0.0
,,,,,,A010610,,,,存货位,135.0,90.0,160.0,可用,A,1.0,6.0,10.0
,,,,,,A010620,,,,存货位,135.0,90.0,160.0,可用,A,1.0,6.0,20.0
,,,,,,A010630,,,,存货位,135.0,90.0,120.0,可用,A,1.0,6.0,30.0
,,,,,,A010640,,,,存货位,135.0,90.0,120.0,可用,A,1.0,6.0,40.0
,,,,,,A010650,,,,存货位,135.0,90.0,120.0,可用,A,1.0,6.0,50.0
,,,,,,A010700,,,,存货位,135.0,90.0,160.0,可用,A,1.0,7.0,0.0
,,,,,,A010710,,,,存货位,135.0,90.0,160.0,可用,A,1.0,7.0,10.0
,,,,,,A010720,,,,存货位,135.0,90.0,160.0,可用,A,1.0,7.0,20.0
,,,,,,A010730,,,,存货位,135.0,90.0,120.0,可用,A,1.0,7.0,30.0
,,,,,,A010740,,,,存货位,135.0,90.0,120.0,可用,A,1.0,7.0,40.0
,,,,,,A010750,,,,存货位,135.0,90.0,120.0,可用,A,1.0,7.0,50.0
,,,,,,A010800,,,,存货位,135.0,90.0,160.0,可用,A,1.0,8.0,0.0
,,,,,,A010810,,,,存货位,135.0,90.0,160.0,可用,A,1.0,8.0,10.0
,,,,,,A010820,,,,存货位,135.0,90.0,160.0,可用,A,1.0,8.0,20.0
,,,,,,A010830,,,,存货位,135.0,90.0,120.0,可用,A,1.0,8.0,30.0
,,,,,,A010840,,,,存货位,135.0,90.0,120.0,可用,A,1.0,8.0,40.0
,,,,,,A010850,,,,存货位,135.0,90.0,120.0,可用,A,1.0,8.0,50.0
,,,,,,A010900,,,,存货位,135.0,90.0,160.0,可用,A,1.0,9.0,0.0
,,,,,,A010910,,,,存货位,135.0,90.0,160.0,可用,A,1.0,9.0,10.0
,,,,,,A010920,,,,存货位,135.0,90.0,160.0,可用,A,1.0,9.0,20.0
,,,,,,A010930,,,,存货位,135.0,90.0,120.0,可用,A,1.0,9.0,30.0
,,,,,,A010940,,,,存货位,135.0,90.0,120.0,可用,A,1.0,9.0,40.0
,,,,,,A010950,,,,存货位,135.0,90.0,120.0,可用,A,1.0,9.0,50.0
,,,,,,A011000,,,,存货位,135.0,90.0,160.0,可用,A,1.0,10.0,0.0
,,,,,,A011010,,,,存货位,135.0,90.0,160.0,可用,A,1.0,10.0,10.0
,,,,,,A011020,,,,存货位,135.0,90.0,160.0,可用,A,1.0,10.0,20.0
,,,,,,A011030,,,,存货位,135.0,90.0,120.0,可用,A,1.0,10.0,30.0
,,,,,,A011040,,,,存货位,135.0,90.0,120.0,可用,A,1.0,10.0,40.0
,,,,,,A011050,,,,存货位,135.0,90.0,120.0,可用,A,1.0,10.0,50.0
,,,,,,A011100,,,,存货位,135.0,90.0,160.0,可用,A,1.0,11.0,0.0
,,,,,,A011110,,,,存货位,135.0,90.0,160.0,可用,A,1.0,11.0,10.0
,,,,,,A011120,,,,存货位,135.0,90.0,160.0,可用,A,1.0,11.0,20.0
,,,,,,A011130,,,,存货位,135.0,90.0,120.0,可用,A,1.0,11.0,30.0
,,,,,,A011140,,,,存货位,135.0,90.0,120.0,可用,A,1.0,11.0,40.0
,,,,,,A011150,,,,存货位,135.0,90.0,120.0,可用,A,1.0,11.0,50.0
,,,,,,A011200,,,,存货位,135.0,90.0,160.0,可用,A,1.0,12.0,0.0
,,,,,,A011210,,,,存货位,135.0,90.0,160.0,可用,A,1.0,12.0,10.0
,,,,,,A011220,,,,存货位,135.0,90.0,160.0,可用,A,1.0,12.0,20.0
